Race/Ethnicity,Sex,Department,Age,Hourly Rate,Regular/Temporary,Employee Status
Hispanic or Latino,F,Seattle Dept of Transportation,52,56.37,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,21,16.56,T,A
Hispanic or Latino,F,Finance & Admin Services,47,53.97,R,A
Hispanic or Latino,M,Seattle City Light,54,42.82,R,A
Hispanic or Latino,F,Seattle City Light,37,27.49,R,A
Hispanic or Latino,F,Seattle Public Utilities,28,43,T,A
Hispanic or Latino,F,Seattle City Light,54,38.56,R,A
Hispanic or Latino,M,Seattle Center,55,23.58,R,A
Hispanic or Latino,M,Finance & Admin Services,47,60.358,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,31,51,R,A
Hispanic or Latino,F,Police Department,60,24.28,T,A
Hispanic or Latino,F,Education & Early Learning,44,48.5,T,A
Hispanic or Latino,F,Office of Housing,40,48.09,R,A
Hispanic or Latino,M,Finance & Admin Services,32,35.89,R,A
Hispanic or Latino,F,Seattle City Light,37,38.98,R,A
Hispanic or Latino,M,Human Services Department,52,36.92,R,A
Hispanic or Latino,F,Legislative Department,62,80.1876,R,A
Hispanic or Latino,F,Human Services Department,33,57.21,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,46,38.24,R,A
Hispanic or Latino,F,Seattle Center,66,16.11,T,A
Hispanic or Latino,F,Parks & Recreation,56,16.11,T,A
Hispanic or Latino,M,Construction & Inspections,24,41.89,R,A
Hispanic or Latino,F,Parks & Recreation,28,21.53,T,A
Hispanic or Latino,F,Human Services Department,53,34.07,R,A
Hispanic or Latino,M,Police Department,50,59.75,R,A
Hispanic or Latino,M,Human Services Department,17,16,T,A
Hispanic or Latino,M,Seattle Dept of Transportation,61,56.4,R,A
Hispanic or Latino,M,Seattle City Light,23,33.74,R,A
Hispanic or Latino,M,Sustainability & Environment,35,51.111,R,A
Hispanic or Latino,M,Police Department,32,46.43,R,A
Hispanic or Latino,M,Police Department,45,55.15,R,A
Hispanic or Latino,F,Human Services Department,17,16,T,A
Hispanic or Latino,M,Human Services Department,17,16,T,A
Hispanic or Latino,M,Fire Department,43,41.61,R,A
Hispanic or Latino,F,Seattle Center,54,53.713,R,A
Hispanic or Latino,M,Seattle City Light,60,31.53,R,A
Hispanic or Latino,M,Parks & Recreation,31,16.92,T,A
Hispanic or Latino,F,Seattle Public Library,34,42.71,R,L
Hispanic or Latino,M,Seattle Public Library,17,17.01,R,A
Hispanic or Latino,F,Parks & Recreation,33,16.11,T,A
Hispanic or Latino,M,Seattle City Light,62,51.87,R,A
Hispanic or Latino,M,Fire Department,40,56.3,R,A
Hispanic or Latino,F,Sustainability & Environment,48,51.108,R,A
Hispanic or Latino,M,Police Department,27,39.01,R,A
Hispanic or Latino,M,Seattle Public Library,63,41.32,R,A
Hispanic or Latino,F,Human Services Department,35,35.43,R,A
Hispanic or Latino,F,Seattle Center,48,27.18,R,A
Hispanic or Latino,M,Finance & Admin Services,44,38.86,R,A
Hispanic or Latino,M,Fire Department,60,76.26,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,25,52.2,T,A
Hispanic or Latino,M,Seattle Dept of Transportation,35,28.49,R,A
Hispanic or Latino,F,Parks & Recreation,19,16.92,T,A
Hispanic or Latino,F,Office of Inspector General,54,83.657,R,A
Hispanic or Latino,M,Police Department,34,48.71,R,A
Hispanic or Latino,F,City Budget Office,38,50,R,A
Hispanic or Latino,F,Seattle City Light,70,27.18,R,A
Hispanic or Latino,F,Seattle Public Utilities,53,35.41,R,A
Hispanic or Latino,M,Parks & Recreation,42,22.19,T,A
Hispanic or Latino,M,Seattle Dept of Transportation,43,32.35,R,A
Hispanic or Latino,M,Seattle Public Utilities,50,22.89,T,A
Hispanic or Latino,F,Police Department,36,31.49,R,A
Hispanic or Latino,F,Information Technology,47,55.62,R,A
Hispanic or Latino,F,Seattle City Light,27,29.29,R,A
Hispanic or Latino,M,Police Department,49,61.79,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,35,57,R,A
Hispanic or Latino,M,Office of Economic Development,34,50,R,A
Hispanic or Latino,M,Ethics & Elections Commission,64,53.959,R,A
Hispanic or Latino,M,Planning & Comm Development,28,32.17,R,A
Hispanic or Latino,M,Seattle Public Library,59,28.88,R,A
Hispanic or Latino,M,Parks & Recreation,19,16.92,T,A
Hispanic or Latino,M,Police Department,34,46.43,R,A
Hispanic or Latino,F,Seattle City Light,28,28.74,R,A
Hispanic or Latino,M,Finance & Admin Services,30,37.59,R,A
Hispanic or Latino,M,Police Department,38,52.85,R,A
Hispanic or Latino,M,Police Department,44,57.7,R,A
Hispanic or Latino,M,Police Department,35,44.75,R,A
Hispanic or Latino,M,Parks & Recreation,47,16.11,T,A
Hispanic or Latino,M,Finance & Admin Services,49,56.157,R,A
Hispanic or Latino,M,Police Department,53,58.46,R,P
Hispanic or Latino,F,Municipal Court,30,24.28,R,A
Hispanic or Latino,M,Parks & Recreation,59,22.19,T,A
Hispanic or Latino,M,Parks & Recreation,39,27.18,R,A
Hispanic or Latino,M,Fire Department,38,39.76,R,A
Hispanic or Latino,F,Parks & Recreation,42,16.11,T,A
Hispanic or Latino,M,Police Department,32,48.71,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,26,38.24,R,A
Hispanic or Latino,F,City Auditor,59,58.377,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,53,41.2,T,A
Hispanic or Latino,M,Seattle City Light,41,52.0207,R,A
Hispanic or Latino,M,Police Department,52,30.71,R,A
Hispanic or Latino,M,Seattle Public Library,26,25.21,R,A
Hispanic or Latino,M,Construction & Inspections,55,57.15,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,34,47.18,R,A
Hispanic or Latino,M,Seattle City Light,54,54.64,R,A
Hispanic or Latino,M,Seattle Public Utilities,34,26.9,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,53,30.76,R,A
Hispanic or Latino,F,Community Police Commission,29,43.38,R,A
Hispanic or Latino,M,Seattle Public Utilities,61,33.66,R,A
Hispanic or Latino,F,Seattle Public Utilities,58,58.165,R,A
Hispanic or Latino,M,Human Services Department,46,43.73,R,A
Hispanic or Latino,M,Parks & Recreation,44,16.11,T,A
Hispanic or Latino,M,Seattle Public Utilities,34,31.33,R,A
Hispanic or Latino,F,Finance & Admin Services,48,23.4,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,63,31.51,R,A
Hispanic or Latino,M,Police Department,48,63.95,R,A
Hispanic or Latino,M,Fire Department,59,60.73,R,A
Hispanic or Latino,M,Parks & Recreation,16,16.92,T,A
Hispanic or Latino,F,Parks & Recreation,19,16.11,T,A
Hispanic or Latino,F,Finance & Admin Services,65,41.06,R,L
Hispanic or Latino,M,Police Department,29,42.85,R,A
Hispanic or Latino,F,Municipal Court,72,49.86,T,A
Hispanic or Latino,M,Fire Department,33,33.45,R,A
Hispanic or Latino,M,Office for Civil Rights,32,32.21,T,A
Hispanic or Latino,F,Parks & Recreation,31,16.11,T,A
Hispanic or Latino,F,Human Services Department,48,34.07,R,A
Hispanic or Latino,M,Police Department,29,44.75,R,A
Hispanic or Latino,M,Human Services Department,17,16,T,A
Hispanic or Latino,M,Police Department,37,55.91,R,L
Hispanic or Latino,M,Municipal Court,58,25.17,R,A
Hispanic or Latino,M,Seattle Center,47,38.98,R,A
Hispanic or Latino,M,Seattle City Light,63,33.78,R,A
Hispanic or Latino,M,Police Department,29,41.83,R,A
Hispanic or Latino,M,Parks & Recreation,40,40.48,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,49,55,R,A
Hispanic or Latino,M,Parks & Recreation,57,50.18,R,A
Hispanic or Latino,M,Seattle Public Utilities,37,30.47,R,A
Hispanic or Latino,F,Construction & Inspections,32,47.04,R,A
Hispanic or Latino,M,Parks & Recreation,36,36.28,R,A
Hispanic or Latino,M,Information Technology,51,52.523,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,36,26.09,R,A
Hispanic or Latino,M,Fire Department,53,54.45,R,A
Hispanic or Latino,M,Seattle Public Utilities,35,30.74,R,A
Hispanic or Latino,M,Fire Department,47,48.07,R,A
Hispanic or Latino,M,Police Department,25,41.83,R,A
Hispanic or Latino,F,Seattle Dept of Human Resource,61,35.43,R,A
Hispanic or Latino,M,Police Department,50,65.81,R,A
Hispanic or Latino,F,Parks & Recreation,37,16.11,T,A
Hispanic or Latino,F,Seattle Center,43,16.11,T,A
Hispanic or Latino,F,Seattle Center,53,23.4,R,A
Hispanic or Latino,M,Seattle Public Utilities,65,47.18,R,A
Hispanic or Latino,F,Police Department,26,44.75,R,A
Hispanic or Latino,F,Seattle City Light,48,49.7371,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,62,37.84,R,A
Hispanic or Latino,M,Seattle Public Library,31,25.37,R,A
Hispanic or Latino,F,Police Department,34,31.49,R,A
Hispanic or Latino,M,Police Department,41,27.95,R,A
Hispanic or Latino,M,Parks & Recreation,67,22.19,T,A
Hispanic or Latino,M,Seattle City Light,72,51.87,R,A
Hispanic or Latino,M,Parks & Recreation,59,26.09,R,A
Hispanic or Latino,M,Seattle City Light,59,50.18,R,A
Hispanic or Latino,F,Neighborhoods,34,40,R,A
Hispanic or Latino,M,Police Department,44,107.6985,R,A
Hispanic or Latino,F,Seattle Public Library,22,18.87,R,A
Hispanic or Latino,F,Information Technology,33,36.13,T,A
Hispanic or Latino,M,Police Department,39,54.89,R,A
Hispanic or Latino,M,Parks & Recreation,45,22.19,T,A
Hispanic or Latino,M,Seattle Center,62,16.11,T,A
Hispanic or Latino,F,Seattle City Light,30,26.09,R,A
Hispanic or Latino,M,Fire Department,43,48.45,R,A
Hispanic or Latino,M,Police Department,62,67.87,R,A
Hispanic or Latino,M,Municipal Court,45,43.91,R,A
Hispanic or Latino,M,Fire Department,45,44.38,R,A
Hispanic or Latino,M,Seattle City Light,39,49.41,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,33,40.48,R,A
Hispanic or Latino,M,Fire Department,49,57.5,R,A
Hispanic or Latino,F,Finance & Admin Services,62,43.576,R,A
Hispanic or Latino,F,Municipal Court,51,25.17,R,A
Hispanic or Latino,M,Fire Department,32,40.13,R,A
Hispanic or Latino,F,Human Services Department,35,22.59,T,A
Hispanic or Latino,M,Seattle Center,49,31.26,T,A
Hispanic or Latino,M,Seattle City Light,59,58.36,R,A
Hispanic or Latino,M,Parks & Recreation,19,16.92,T,A
Hispanic or Latino,F,Parks & Recreation,63,37.59,R,A
Hispanic or Latino,M,Finance & Admin Services,51,21.61,R,A
Hispanic or Latino,F,Seattle City Light,31,46.35,R,A
Hispanic or Latino,F,Seattle City Light,34,48.09,R,A
Hispanic or Latino,M,Seattle City Light,61,27.63,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,51,56.37,R,A
Hispanic or Latino,M,Fire Department,35,30.88,R,A
Hispanic or Latino,M,Parks & Recreation,26,23.82,T,A
Hispanic or Latino,M,Parks & Recreation,30,26.09,R,A
Hispanic or Latino,F,Arts & Culture,48,42.06,R,A
Hispanic or Latino,F,Parks & Recreation,19,16.92,T,A
Hispanic or Latino,M,Parks & Recreation,36,31.63,R,A
Hispanic or Latino,M,Parks & Recreation,52,25.17,R,A
Hispanic or Latino,M,Seattle Public Utilities,40,45.717,R,A
Hispanic or Latino,M,Police Department,53,58.73,R,A
Hispanic or Latino,M,Fire Department,44,41.61,R,A
Hispanic or Latino,F,Parks & Recreation,34,22.19,T,A
Hispanic or Latino,M,Parks & Recreation,60,16.14,R,A
Hispanic or Latino,M,Human Services Department,18,16,T,A
Hispanic or Latino,M,Fire Department,43,39.76,R,A
Hispanic or Latino,F,Office for Civil Rights,35,29.29,R,A
Hispanic or Latino,M,Seattle Public Library,53,58.58,R,A
Hispanic or Latino,M,Seattle Public Utilities,33,46.93,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,68,27.18,R,A
Hispanic or Latino,F,Information Technology,35,48,T,A
Hispanic or Latino,F,Seattle Center,64,20.07,T,A
Hispanic or Latino,M,Parks & Recreation,42,18,T,A
Hispanic or Latino,M,Legislative Department,37,60.3448,T,A
Hispanic or Latino,M,Municipal Court,32,25.17,R,A
Hispanic or Latino,M,Seattle Public Utilities,34,29.56,R,A
Hispanic or Latino,F,Law Department,34,34.07,R,A
Hispanic or Latino,M,Municipal Court,31,28.74,R,A
Hispanic or Latino,M,Police Department,47,57.96,R,A
Hispanic or Latino,M,Seattle Public Library,31,33.32,R,A
Hispanic or Latino,M,Fire Department,34,38.28,R,A
Hispanic or Latino,M,Seattle Public Library,21,17.92,R,A
Hispanic or Latino,M,Seattle Public Utilities,33,42.85,R,A
Hispanic or Latino,F,Construction & Inspections,44,38.98,R,A
Hispanic or Latino,M,Finance & Admin Services,41,37.43,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,37,28.28,T,A
Hispanic or Latino,M,Municipal Court,71,39.03,R,A
Hispanic or Latino,M,Seattle Public Utilities,39,36.15,R,A
Hispanic or Latino,M,Police Department,47,59.23,R,A
Hispanic or Latino,F,Police Department,52,31.49,R,A
Hispanic or Latino,M,Seattle Public Utilities,48,36.75,R,A
Hispanic or Latino,F,Seattle Public Utilities,46,48.09,R,A
Hispanic or Latino,M,Police Department,34,55.15,R,A
Hispanic or Latino,M,Fire Department,48,63.66,R,A
Hispanic or Latino,F,Parks & Recreation,53,16.11,T,A
Hispanic or Latino,M,Information Technology,46,43.44,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,32,52.13,R,A
Hispanic or Latino,M,Parks & Recreation,52,23.58,R,A
Hispanic or Latino,F,Seattle Public Library,31,24.71,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,38,48.09,R,A
Hispanic or Latino,F,Office of Housing,39,46,R,A
Hispanic or Latino,M,Information Technology,67,55.674,R,A
Hispanic or Latino,F,Finance & Admin Services,62,35.43,R,A
Hispanic or Latino,M,Parks & Recreation,43,32.81,R,A
Hispanic or Latino,M,Municipal Court,48,36.35,R,A
Hispanic or Latino,M,Seattle Public Library,59,39.95,R,A
Hispanic or Latino,M,Human Services Department,50,36.92,R,A
Hispanic or Latino,M,Seattle City Light,69,44.51,R,A
Hispanic or Latino,M,Seattle Center,36,41.87,R,A
Hispanic or Latino,M,Law Department,29,33.64,T,A
Hispanic or Latino,M,Seattle City Light,48,51.87,R,A
Hispanic or Latino,M,Seattle City Light,64,28.49,R,A
Hispanic or Latino,M,Finance & Admin Services,58,21.61,R,A
Hispanic or Latino,F,Seattle Public Utilities,32,33.01,R,A
Hispanic or Latino,M,Mayor's Office,24,31.781,R,A
Hispanic or Latino,F,Parks & Recreation,49,36.67,R,A
Hispanic or Latino,F,Municipal Court,36,33.46,T,A
Hispanic or Latino,F,Seattle Center,43,22.19,T,A
Hispanic or Latino,M,Parks & Recreation,52,41.84,R,A
Hispanic or Latino,F,Seattle City Light,48,49.77,R,A
Hispanic or Latino,M,Police Department,47,58.46,R,A
Hispanic or Latino,M,Parks & Recreation,40,16.11,T,A
Hispanic or Latino,M,Seattle City Light,34,29.79,R,A
Hispanic or Latino,M,Police Department,55,63.95,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,29,30.5,R,A
Hispanic or Latino,M,Parks & Recreation,73,25.17,R,A
Hispanic or Latino,F,Police Department,41,49.91,R,A
Hispanic or Latino,M,Police Department,55,55.91,R,A
Hispanic or Latino,F,Seattle Public Library,22,21.39,R,A
Hispanic or Latino,F,Human Services Department,34,33.45,R,A
Hispanic or Latino,M,Finance & Admin Services,36,52.92,R,A
Hispanic or Latino,F,Seattle Center,41,27.18,R,A
Hispanic or Latino,M,Neighborhoods,35,70.471,R,A
Hispanic or Latino,M,Parks & Recreation,20,16.92,T,A
Hispanic or Latino,M,Seattle City Light,57,58.36,R,A
Hispanic or Latino,M,Police Department,43,58.46,R,A
Hispanic or Latino,M,Parks & Recreation,53,26.09,R,A
Hispanic or Latino,M,Seattle City Light,51,41.89,R,A
Hispanic or Latino,F,Finance & Admin Services,59,36.92,R,A
Hispanic or Latino,M,Finance & Admin Services,30,37.72,R,A
Hispanic or Latino,M,Seattle City Light,49,54.9,R,A
Hispanic or Latino,F,Seattle Dept of Human Resource,35,48.87,R,A
Hispanic or Latino,F,Finance & Admin Services,60,34.76,R,L
Hispanic or Latino,M,Seattle Public Library,52,24.71,R,A
Hispanic or Latino,M,Fire Department,40,36.43,R,A
Hispanic or Latino,M,Seattle City Light,44,52.46,R,A
Hispanic or Latino,M,Police Department,28,42.85,R,A
Hispanic or Latino,M,Seattle Public Utilities,49,30.74,R,A
Hispanic or Latino,F,Parks & Recreation,16,16.92,T,A
Hispanic or Latino,M,Police Department,33,41.83,R,A
Hispanic or Latino,M,Police Department,58,56.94,R,A
Hispanic or Latino,M,Seattle City Light,47,55.5455,R,A
Hispanic or Latino,M,Parks & Recreation,36,16.11,T,A
Hispanic or Latino,M,Parks & Recreation,42,36.92,R,A
Hispanic or Latino,F,Seattle Public Library,18,17.92,R,A
Hispanic or Latino,M,Parks & Recreation,36,16.92,T,A
Hispanic or Latino,F,Seattle Dept of Human Resource,39,48.879,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,27,42.71,R,A
Hispanic or Latino,M,Seattle Center,54,31.26,T,A
Hispanic or Latino,F,Seattle Public Utilities,55,33.98,R,A
Hispanic or Latino,M,Police Department,47,55.91,R,A
Hispanic or Latino,F,Legislative Department,39,62.11,R,A
Hispanic or Latino,F,Seattle City Light,34,40.48,R,A
Hispanic or Latino,F,Seattle City Light,41,51.32,R,A
Hispanic or Latino,M,Office for Civil Rights,66,62,R,A
Hispanic or Latino,F,Legislative Department,41,49.91,R,A
Hispanic or Latino,M,Seattle City Light,52,77.533,R,A
Hispanic or Latino,M,Seattle Public Utilities,30,27.18,R,A
Hispanic or Latino,M,Office of Housing,38,33.76,R,A
Hispanic or Latino,F,Seattle Dept of Human Resource,64,34.76,T,A
Hispanic or Latino,M,Information Technology,32,54,R,A
Hispanic or Latino,F,Law Department,62,36.13,R,A
Hispanic or Latino,F,Seattle Public Library,29,24.71,R,A
Hispanic or Latino,M,Seattle Public Utilities,35,38.24,R,A
Hispanic or Latino,F,Finance & Admin Services,50,27.49,R,A
Hispanic or Latino,M,Seattle Public Utilities,45,31.33,R,A
Hispanic or Latino,F,Human Services Department,46,34.07,R,A
Hispanic or Latino,M,Police Department,48,52.09,R,A
Hispanic or Latino,F,Office of Labor Standards,34,36.13,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,54,29.29,R,L
Hispanic or Latino,M,Fire Department,27,34.58,R,A
Hispanic or Latino,M,Seattle Center,44,25.43,R,A
Hispanic or Latino,M,Seattle Public Utilities,44,37.53,R,A
Hispanic or Latino,F,Neighborhoods,29,40,R,A
Hispanic or Latino,M,Parks & Recreation,42,29.56,R,A
Hispanic or Latino,M,Parks & Recreation,57,26.09,R,A
Hispanic or Latino,M,Seattle City Light,44,50.36,R,A
Hispanic or Latino,M,Human Services Department,16,16,T,A
Hispanic or Latino,M,Police Department,60,69.05,R,A
Hispanic or Latino,F,Seattle Center,61,25.44,R,A
Hispanic or Latino,M,Seattle Public Utilities,40,35.16,R,A
Hispanic or Latino,M,Human Services Department,36,32.81,R,A
Hispanic or Latino,F,Seattle City Light,35,42,R,A
Hispanic or Latino,F,Municipal Court,60,31,R,A
Hispanic or Latino,F,Parks & Recreation,37,18,T,A
Hispanic or Latino,M,Seattle City Light,55,51.87,R,A
Hispanic or Latino,M,Municipal Court,39,27.8,R,A
Hispanic or Latino,M,Seattle City Light,33,28.94,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,51,40.15,R,A
Hispanic or Latino,M,Parks & Recreation,63,31.36,T,A
Hispanic or Latino,M,Information Technology,66,49.707,R,A
Hispanic or Latino,M,Parks & Recreation,29,19.83,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,39,50.18,R,A
Hispanic or Latino,M,Parks & Recreation,24,25.17,T,A
Hispanic or Latino,M,Fire Department,25,30.88,R,A
Hispanic or Latino,M,Seattle City Light,56,51.87,R,A
Hispanic or Latino,M,Police Department,47,63.37,R,A
Hispanic or Latino,M,Police Department,54,80.07,R,A
Hispanic or Latino,F,Parks & Recreation,34,20.48,T,A
Hispanic or Latino,M,Fire Department,48,42.53,R,A
Hispanic or Latino,F,Seattle City Light,36,46.35,R,A
Hispanic or Latino,F,Parks & Recreation,36,20.51,R,A
Hispanic or Latino,F,Finance & Admin Services,42,34.07,R,A
Hispanic or Latino,F,Police Department,31,53.57,R,A
Hispanic or Latino,M,Fire Department,49,46.97,R,A
Hispanic or Latino,F,Human Services Department,18,16,T,A
Hispanic or Latino,M,Fire Department,37,39.02,R,A
Hispanic or Latino,M,Information Technology,48,64.578,R,A
Hispanic or Latino,F,Office of Housing,37,59.28,R,A
Hispanic or Latino,F,Parks & Recreation,71,20.51,R,A
Hispanic or Latino,M,Fire Department,56,48.81,R,A
Hispanic or Latino,M,Seattle Public Utilities,50,22.89,T,A
Hispanic or Latino,F,Seattle Public Utilities,65,51.78,R,A
Hispanic or Latino,F,Education & Early Learning,32,31.63,R,A
Hispanic or Latino,F,Parks & Recreation,16,16.73,T,A
Hispanic or Latino,M,Seattle City Light,27,27.9,T,A
Hispanic or Latino,F,Municipal Court,26,26.09,R,A
Hispanic or Latino,M,Parks & Recreation,18,20.48,T,A
Hispanic or Latino,M,Seattle City Light,31,39.78,R,A
Hispanic or Latino,M,Police Department,37,54.13,R,A
Hispanic or Latino,F,Seattle Public Library,28,20.3,R,A
Hispanic or Latino,F,Police Department,23,39.01,R,A
Hispanic or Latino,M,Parks & Recreation,60,26.09,R,A
Hispanic or Latino,M,Police Department,47,64.35,R,A
Hispanic or Latino,F,Seattle Center,62,22.19,T,A
Hispanic or Latino,M,Finance & Admin Services,41,27.49,R,A
Hispanic or Latino,F,Police Department,50,56.17,R,A
Hispanic or Latino,M,Parks & Recreation,41,26.09,R,A
Hispanic or Latino,M,Seattle Public Utilities,45,63.1,R,A
Hispanic or Latino,M,Parks & Recreation,30,22.19,T,A
Hispanic or Latino,F,Legislative Department,42,62.11,R,A
Hispanic or Latino,F,Fire Department,52,52.06,R,A
Hispanic or Latino,F,Seattle City Light,45,27.18,R,A
Hispanic or Latino,M,Parks & Recreation,29,29.55,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,37,26.09,R,A
Hispanic or Latino,F,Human Services Department,33,36.13,R,A
Hispanic or Latino,F,Neighborhoods,45,39,R,A
Hispanic or Latino,M,Seattle Public Utilities,32,36.75,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,22,26.09,T,A
Hispanic or Latino,M,Finance & Admin Services,63,38.29,R,A
Hispanic or Latino,F,Seattle Public Utilities,62,49.91,R,A
